Dream Theater, Scenes from a Memory Part II,
Meshuggah, Nothing,
The Dillinger Escape Plan, Calculating Infinity,
Imperial Triumphant, Alphaville,
Meshuggah, Chaosphere
London Electricity, Syncopated City
Steely Dan, Aja
Return to Forever, Light as a Feather,
Weather Report, Heavy Weather
Fredrik Thordendal's Special Defects, Sol Niger Within,
Ghostemane, Hexada,
Bones, Powder,
Ion Dissonance, Solace,
Frontierer, Oxidized,
Gordian Knot, Emergent,
Gorguts, Pleiades
Algernon Cadwallader, Parrot Flies,
American Football, American Football,
Animals As Leaders, Animals As Leaders,
The Arusha Accord, The Echo Verses,
Bark Psychosis, Hex,
Blotted Science, The Animation of Entomology,
Car Bomb, Mordial,
Cloudkicker, Subsume,
The Contortionist, Language
Cloudkicker, Beacons,
Dance Gavin Dance, Acceptance Speech,
Deafheaven, Sunbather,
The Dear Hunter, Act IV: Rebirth in Reprise,
Defeater, Lost Ground,
Deftones, Koi No Yokan,
Devin Townsend, Storm
Disperse, Living Mirrors,
Erra, Drift,
Fell Silent, The Hidden Words,
Flying Lotus, You're Dead
Glass Cloud, The Royal Thousand,
Gunship, Gunship,
Hospital Sports, Hospital Sports,
Intronaut, The Direction of the Last Things,
Invalids, Eunoia,
Kadinja, Ascendancy,
Kendrick Lamar, To Pimp a Butterfly,
Last Chance to Reason, Level 3,
Leprous, Pitfalls,
Means End, The Didact,
Meshuggah, Catch 33,
MF Doom, Operation: Doomsday,
The Midnight, Kids,
